filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
B_002.jpg,122572,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":229,""y"":224,""width"":826,""height"":313}","{""CLASS"":""Boots""}"
B_003.jpg,98922,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":282,""y"":644,""width"":204,""height"":340}","{""CLASS"":""Boots""}"
B_004.jpg,516934,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":861,""y"":1020,""width"":228,""height"":158}","{""CLASS"":""Boots""}"
B_005.jpg,145962,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":190,""y"":808,""width"":305,""height"":145}","{""CLASS"":""Boots""}"
B_006.jpg,12468,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""rect"",""x"":21,""y"":73,""width"":66,""height"":50}","{""CLASS"":""Boots""}"
B_006.jpg,12468,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""rect"",""x"":135,""y"":96,""width"":97,""height"":70}","{""CLASS"":""Boots""}"
B_Img001.jpg,757435,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":207,""y"":309,""width"":1183,""height"":606}","{""CLASS"":""Boots""}"
H_Img_001.jpg,201596,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":470,""y"":23,""width"":69,""height"":93}","{""CLASS"":""HardHat""}"
H_Img_002.jpg,14646,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":89,""y"":28,""width"":99,""height"":41}","{""CLASS"":""HardHat""}"
H_Img_003.jpg,11206,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":49,""y"":46,""width"":75,""height"":54}","{""CLASS"":""HardHat""}"
H_Img_004.jpg,85384,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":299,""y"":19,""width"":318,""height"":258}","{""CLASS"":""HardHat""}"
H_Img_005.jpg,93618,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":67,""y"":22,""width"":434,""height"":280}","{""CLASS"":""HardHat""}"
H_Img_006.jpg,106645,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":194,""y"":65,""width"":519,""height"":354}","{""CLASS"":""HardHat""}"
H_Img_007.jpg,10879,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":45,""y"":-1,""width"":100,""height"":69}","{""CLASS"":""HardHat""}"
H_Img_008.jpg,6701,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":130,""y"":6,""width"":85,""height"":45}","{""CLASS"":""HardHat""}"
H_Img_010.jpg,8588,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",1,0,"{""name"":""rect"",""x"":18,""y"":10,""width"":169,""height"":105}","{""CLASS"":""HardHat""}"
HB_Img001.jpg,113692,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""rect"",""x"":393,""y"":165,""width"":81,""height"":75}","{""CLASS"":""HardHat""}"
HB_Img001.jpg,113692,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""rect"",""x"":618,""y"":405,""width"":131,""height"":140}","{""CLASS"":""Boots""}"
HB_Img002.jpg,171237,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""rect"",""x"":341,""y"":40,""width"":164,""height"":111}","{""CLASS"":""HardHat""}"
HB_Img002.jpg,171237,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""rect"",""x"":224,""y"":806,""width"":360,""height"":200}","{""CLASS"":""Boots""}"
HB_Img003.jpg,94534,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""rect"",""x"":385,""y"":74,""width"":282,""height"":194}","{""CLASS"":""HardHat""}"
HB_Img003.jpg,94534,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""rect"",""x"":69,""y"":890,""width"":514,""height"":273}","{""CLASS"":""Boots""}"
HM_Img_001.jpg,281027,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""rect"",""x"":584,""y"":0,""width"":331,""height"":214}","{""CLASS"":""HardHat""}"
